date,read,link
1월 1일,창세기 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWHipi5sSMqiQgrkA0vuZd6t
1월 2일,창세기 6-11장,https://www.youtube.com/playlist?list=PL-MVshquUXWHkLnCMMUhpA_7nfihc2xUq
1월 3일,창세기 12-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWFDFVra9uf7lIwhazESW5CR
1월 4일,창세기 18-21장,https://www.youtube.com/playlist?list=PL-MVshquUXWGRzTuQjU-lxZb0ujAdGAJ7
1월 5일,창세기 22-25장,https://www.youtube.com/playlist?list=PL-MVshquUXWFtjKBXzIteT0XzrhB2XaYC
1월 6일,창세기 26-29장,https://www.youtube.com/playlist?list=PL-MVshquUXWGIWNL1ygzFOaUb9PEQXIfP
1월 8일,창세기 30-33장,https://www.youtube.com/playlist?list=PL-MVshquUXWF4-0i5jfIVyVM0ibB1su_Q
1월 9일,창세기 34-37장,https://www.youtube.com/playlist?list=PL-MVshquUXWGOiPoskBEwq9WFwkYr7J_r
1월 10일,창세기 38-42장,https://www.youtube.com/playlist?list=PL-MVshquUXWHFcRvskk3pLXA_jU4OEABr
1월 11일,창세기 43-46장,https://www.youtube.com/playlist?list=PL-MVshquUXWGr3hefhEhTAzgpB9ex8jMb
1월 12일,창세기 47-50장,https://www.youtube.com/playlist?list=PL-MVshquUXWFKZs6UCPvicM881z4NuqTr
1월 13일,출애굽기 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWF40ZbG-OVj0zV_9-THclzr
1월 15일,출애굽기 6-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWFhvG7OCGfOod0Sqe1oo84D
1월 16일,출애굽기 11-15장,https://www.youtube.com/playlist?list=PL-MVshquUXWEMOejijcgJAR0sprj5QzmU
1월 17일,출애굽기 16-20장,https://www.youtube.com/playlist?list=PL-MVshquUXWG2UAl7zrlT1gBCUOXLQp3g
1월 18일,출애굽기 21-25장,https://www.youtube.com/playlist?list=PL-MVshquUXWGuuNmdiKI1csh4EksMkpQ7
1월 19일,출애굽기 26-30장,https://www.youtube.com/playlist?list=PL-MVshquUXWHAmmX9J3hzoWLo7xlZI_bi
1월 20일,출애굽기 31-35장,https://www.youtube.com/playlist?list=PL-MVshquUXWFxlycQKkhc5C_C7ZSqrHTg
1월 22일,출애굽기 36-40장,https://www.youtube.com/playlist?list=PL-MVshquUXWFok6cuzQPXx24APT7B8nyL
1월 23일,레위기 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWEnEAmOA_hJDmjcSmz17OBs
